id,fold_id
11759,3
4375,8
2465,5
2499,9
10392,3
1689,6
9497,0
2301,8
11541,7
12265,4
147,9
4294,9
12194,6
1055,6
4804,9
11017,1
9814,7
241,3
4441,1
13788,9
950,7
13004,5
1490,0
1089,0
8885,2
9340,4
7938,3
3196,3
13924,3
3126,1
8139,3
5152,7
12066,5
7548,3
13341,1
6946,0
9310,1
5422,0
5772,1
12635,4
9874,2
10486,7
3719,7
2266,2
8124,4
3958,0
8415,6
13911,3
758,1
9670,0
14734,9
2253,8
4326,6
5054,0
233,0
4490,0
3007,4
14397,0
12560,0
10812,8
11104,9
12539,7
3668,4
10572,9
9254,8
4353,4
2938,8
11247,2
3424,2
4014,3
2798,0
1801,6
8487,9
13169,1
5102,8
10467,6
11661,6
11100,3
3524,0
4405,6
6557,9
6110,4
4626,4
10045,5
11683,0
6579,1
6977,3
7819,1
12316,8
1789,4
11652,3
6960,4
3990,9
7728,6
14612,3
3101,0
999,3
3687,7
7460,2
2469,1
7592,7
9594,8
11159,5
6756,6
39,8
12188,9
9913,7
288,2
369,4
6185,1
1719,5
6600,3
12833,9
7556,2
7549,9
8670,7
11214,7
10613,5
13365,4
12390,8
5791,2
445,4
5747,2
4415,4
5619,5
2349,9
10974,6
10248,3
3304,4
2958,5
11174,0
643,5
4181,8
12824,9
2012,0
5189,3
8771,6
119,3
14200,2
9053,3
10291,0
6584,0
5299,1
10634,1
14041,1
13012,4
9261,1
14444,6
10873,6
1494,0
13011,5
4692,0
13030,2
11013,1
10149,7
13298,6
11728,1
8043,8
6690,5
792,6
3436,1
10371,6
11952,8
8729,4
8050,6
8288,5
14956,9
5313,5
5502,2
3158,9
7263,0
10308,4
14019,3
9267,5
12717,1
11412,2
8646,6
7101,0
10820,4
154,1
6067,6
1343,9
12802,2
11690,9
1860,0
9202,0
9440,9
6856,9
294,9
10164,9
5463,3
9148,9
4478,8
13733,7
992,4
14042,9
1276,6
3542,3
12871,3
10583,1
3419,6
10033,5
14024,6
1581,4
7803,4
5350,8
12785,5
2677,9
5376,3
13986,0
6666,1
