model,fold,log_loss,accuracy,macro_f1
KNN,0,0.6380632025892109,0.8135416666666667,0.5156966782733654
Logistic Regression,0,0.4471642833550873,0.8286458333333333,0.548371590757564
KNN,1,0.7379491452169599,0.8286458333333333,0.5308911509923874
Logistic Regression,1,0.4271592460215411,0.8421875,0.5732442172925064
KNN,2,0.6283347406727877,0.8151041666666666,0.515889709228082
Logistic Regression,2,0.4357519190583041,0.8322916666666667,0.5695770920549144
KNN,3,0.6019459268554203,0.8026041666666667,0.5013807148328756
Logistic Regression,3,0.4483143906240315,0.8307291666666666,0.5595572847886152
KNN,4,0.6950296204190926,0.8109375,0.5134964026670765
Logistic Regression,4,0.4441555073712781,0.83125,0.5390806077774917
Decision Tree,0,0.4730592806260887,0.8260416666666667,0.5239837536751306
Naive Bayes,0,2.431336472995478,0.5671875,0.4493003162386728
Decision Tree,1,0.4567224269845217,0.8427083333333333,0.5417912423308107
Naive Bayes,1,1.8803215302596337,0.6265625,0.485738480567197
Decision Tree,2,0.4746188672139831,0.8302083333333333,0.5290968186112045
Naive Bayes,2,2.159838257078841,0.5828125,0.4602779329304423
Decision Tree,3,0.4828542608519341,0.8270833333333333,0.5250326432473508
Naive Bayes,3,2.3755363849936386,0.5557291666666667,0.446727162947836
Decision Tree,4,0.4840778505792377,0.825,0.5241811114612879
Naive Bayes,4,2.206389925511905,0.6125,0.4868702526861176
Random Forest,0,0.4072157205590299,0.8463541666666666,0.5745056802843876
XGBoost,0,0.3894707864478374,0.8484375,0.6313309690529675
Random Forest,1,0.4003131291458005,0.8598958333333333,0.5763494111766004
XGBoost,1,0.3723440979029816,0.8609375,0.6093997599058395
Random Forest,2,0.406623803091311,0.84375,0.5594194225420752
XGBoost,2,0.3817388972498605,0.8479166666666667,0.6706125709899973
Random Forest,3,0.400940911936703,0.8427083333333333,0.5705139146706945
XGBoost,3,0.3773737074788787,0.8463541666666666,0.6125744235923003
Random Forest,4,0.414430649918595,0.8453125,0.5617374224179518
XGBoost,4,0.3888117836978295,0.8458333333333333,0.6762784769207334
