model,fold,log_loss,accuracy,macro_f1
KNN,0,0.7135870026118182,0.8083333333333333,0.5099420481307181
Logistic_Regression,0,0.45398812684833284,0.8260416666666667,0.5583695017400324
KNN,1,0.8503999825110957,0.8291666666666667,0.5562549165743133
Logistic_Regression,1,0.43881612172646434,0.8322916666666667,0.5393713672729363
KNN,2,0.782371031096971,0.821875,0.5256545732065282
Logistic_Regression,2,0.4376923211251684,0.8333333333333334,0.5645272202089068
KNN,3,0.8218048566275326,0.8489583333333334,0.5522314476507207
Logistic_Regression,3,0.4106773115200222,0.8572916666666667,0.5881428411820568
KNN,4,0.677277144864794,0.8291666666666667,0.5297449132168975
Logistic_Regression,4,0.42628971990305675,0.8395833333333333,0.6055194401454138
KNN,5,0.8782357019624913,0.8145833333333333,0.5143551236749117
Logistic_Regression,5,0.4450587608043252,0.8270833333333333,0.5295512448124903
KNN,6,0.7439060863594265,0.8052083333333333,0.5067246325025558
Logistic_Regression,6,0.48945435283962374,0.8166666666666667,0.5483778126635269
KNN,7,0.6088046957028361,0.8197916666666667,0.5196088051548752
Logistic_Regression,7,0.4121946942440446,0.840625,0.566316144015352
KNN,8,0.7909032399610232,0.8208333333333333,0.5220971573542984
Logistic_Regression,8,0.43237106388478236,0.8385416666666666,0.5682418244357749
KNN,9,0.9264454015825773,0.8166666666666667,0.5203897693707614
Logistic_Regression,9,0.4515348733441446,0.8270833333333333,0.5354652765410317
