model,fold,log_loss,accuracy,macro_f1
Decision Tree,0,0.47305928062608876,0.8260416666666667,0.5239837536751306
Naive Bayes,0,2.431336472995478,0.5671875,0.44930031623867284
Decision Tree,1,0.4567224269845217,0.8427083333333333,0.5417912423308107
Naive Bayes,1,1.8803215302596337,0.6265625,0.485738480567197
Decision Tree,2,0.47461886721398316,0.8302083333333333,0.5290968186112045
Naive Bayes,2,2.159838257078841,0.5828125,0.4602779329304423
Decision Tree,3,0.48285426085193417,0.8270833333333333,0.5250326432473508
Naive Bayes,3,2.3755363849936386,0.5557291666666667,0.44672716294783604
Decision Tree,4,0.4840778505792377,0.825,0.5241811114612879
Naive Bayes,4,2.2063899255119055,0.6125,0.48687025268611767
