model,fold,log_loss,accuracy,macro_f1
Random Forest,0,0.40721572055902994,0.8463541666666666,0.5745056802843876
XGBoost,0,0.3894707864478374,0.8484375,0.6313309690529675
Random Forest,1,0.40031312914580053,0.8598958333333333,0.5763494111766004
XGBoost,1,0.3723440979029816,0.8609375,0.6093997599058395
Random Forest,2,0.406623803091311,0.84375,0.5594194225420752
XGBoost,2,0.38173889724986054,0.8479166666666667,0.6706125709899973
Random Forest,3,0.40094091193670306,0.8427083333333333,0.5705139146706945
XGBoost,3,0.3773737074788787,0.8463541666666666,0.6125744235923003
Random Forest,4,0.414430649918595,0.8453125,0.5617374224179518
XGBoost,4,0.3888117836978295,0.8458333333333333,0.6762784769207334
