class_index,class_name,bin,lower,upper,count,mean_probability,observed_frequency,absolute_gap,weight
0,C,0,0.0,0.1,1323,0.030065015110419833,0.034013605442176874,0.00394859033175704,0.1378125
0,C,1,0.1,0.2,419,0.14846757445528852,0.1718377088305489,0.023370134375260393,0.043645833333333335
0,C,2,0.2,0.30000000000000004,304,0.24634402877602138,0.26644736842105265,0.020103339645031276,0.03166666666666667
0,C,3,0.30000000000000004,0.4,293,0.34792197086298426,0.36860068259385664,0.02067871173087238,0.030520833333333334
0,C,4,0.4,0.5,308,0.4492019804847705,0.4967532467532468,0.04755126626847628,0.03208333333333333
0,C,5,0.5,0.6000000000000001,324,0.5509275694688162,0.5185185185185185,0.03240905095029767,0.03375
0,C,6,0.6000000000000001,0.7000000000000001,484,0.6516781212869754,0.6136363636363636,0.038041757650611796,0.050416666666666665
0,C,7,0.7000000000000001,0.8,619,0.7533452408764397,0.7560581583198708,0.002712917443431051,0.06447916666666667
0,C,8,0.8,0.9,1296,0.8575766473364683,0.8279320987654321,0.029644548571036267,0.135
0,C,9,0.9,1.0,4230,0.9579906476727614,0.9588652482269504,0.0008746005541889756,0.440625
1,CL,0,0.0,0.1,9073,0.011947407125840083,0.013336272456739778,0.0013888653308996943,0.9451041666666666
1,CL,1,0.1,0.2,295,0.14126940336772947,0.11186440677966102,0.029404996588068458,0.030729166666666665
1,CL,2,0.2,0.30000000000000004,106,0.24832670474952123,0.2641509433962264,0.01582423864670518,0.011041666666666667
1,CL,3,0.30000000000000004,0.4,49,0.34681673500002647,0.5306122448979592,0.18379550989793275,0.005104166666666667
1,CL,4,0.4,0.5,33,0.44755028504313843,0.42424242424242425,0.023307860800714175,0.0034375
1,CL,5,0.5,0.6000000000000001,20,0.5435018211603164,0.65,0.1064981788396836,0.0020833333333333333
1,CL,6,0.6000000000000001,0.7000000000000001,11,0.6497751095078208,0.7272727272727273,0.07749761776490649,0.0011458333333333333
1,CL,7,0.7000000000000001,0.8,11,0.7399453249844637,0.8181818181818182,0.07823649319735448,0.0011458333333333333
1,CL,8,0.8,0.9,1,0.8446179032325745,1.0,0.15538209676742554,0.00010416666666666667
1,CL,9,0.9,1.0,1,0.9098091721534728,1.0,0.09019082784652721,0.00010416666666666667
2,D,0,0.0,0.1,4631,0.037795632570073484,0.03908443100842151,0.0012887984383480253,0.48239583333333336
2,D,1,0.1,0.2,1183,0.14083211731074322,0.16398985629754861,0.0231577389868054,0.12322916666666667
2,D,2,0.2,0.30000000000000004,623,0.24881384833857872,0.2664526484751204,0.017638800136541677,0.06489583333333333
2,D,3,0.30000000000000004,0.4,419,0.3484887979337879,0.35083532219570407,0.002346524261916172,0.043645833333333335
2,D,4,0.4,0.5,290,0.44791104783271923,0.45517241379310347,0.007261365960384236,0.030208333333333334
2,D,5,0.5,0.6000000000000001,300,0.545896458029747,0.48,0.06589645802974697,0.03125
2,D,6,0.6000000000000001,0.7000000000000001,284,0.6508945205681761,0.6232394366197183,0.027655083948457837,0.029583333333333333
2,D,7,0.7000000000000001,0.8,304,0.753147503263072,0.7302631578947368,0.02288434536833517,0.03166666666666667
2,D,8,0.8,0.9,381,0.8518183185985395,0.8346456692913385,0.01717264930720097,0.0396875
2,D,9,0.9,1.0,1185,0.9688842244792085,0.9654008438818565,0.0034833805973519816,0.1234375
