bin,lower,upper,count,mean_confidence,observed_accuracy,absolute_gap,weight
0,0.0,0.1,0,,,,0.0
1,0.1,0.2,0,,,,0.0
2,0.2,0.30000000000000004,0,,,,0.0
3,0.30000000000000004,0.4,13,0.3773069244164687,0.3076923076923077,0.06961461672416097,0.0013541666666666667
4,0.4,0.5,136,0.46931982785463333,0.4117647058823529,0.05755512197228041,0.014166666666666666
5,0.5,0.6000000000000001,644,0.5483532707143274,0.5046583850931677,0.04369488562115964,0.06708333333333333
6,0.6000000000000001,0.7000000000000001,779,0.6513655722064752,0.6187419768934531,0.03262359531302206,0.08114583333333333
7,0.7000000000000001,0.8,934,0.7531230660271083,0.7483940042826552,0.004729061744453089,0.09729166666666667
8,0.8,0.9,1678,0.8562614614048504,0.8295589988081049,0.02670246259674547,0.17479166666666668
9,0.9,1.0,5416,0.9603652243049846,0.9603028064992615,6.241780572313615e-05,0.5641666666666667
