model,variant,fold,log_loss,accuracy,macro_f1
KNN (k=51),có scaling,0,0.6380632025892109,0.8135416666666667,0.5156966782733654
KNN (k=51),có scaling,1,0.7379491452169599,0.8286458333333333,0.5308911509923874
KNN (k=51),có scaling,2,0.6283347406727877,0.8151041666666666,0.515889709228082
KNN (k=51),có scaling,3,0.6019459268554203,0.8026041666666667,0.5013807148328756
KNN (k=51),có scaling,4,0.6950296204190926,0.8109375,0.5134964026670765
KNN (k=5),có scaling,0,2.4876727536819505,0.8145833333333333,0.5417133423314394
KNN (k=5),có scaling,1,2.079800023891977,0.8244791666666667,0.5538260521627795
KNN (k=5),có scaling,2,2.5488254879093515,0.8208333333333333,0.5800915885763684
KNN (k=5),có scaling,3,2.601684393401546,0.8166666666666667,0.5501776734716439
KNN (k=5),có scaling,4,2.523022127650464,0.8041666666666667,0.5675633392563275
Logistic Regression,có scaling,0,0.44716428335508734,0.8286458333333333,0.548371590757564
Logistic Regression,có scaling,1,0.4271592460215411,0.8421875,0.5732442172925064
Logistic Regression,có scaling,2,0.4357519190583041,0.8322916666666667,0.5695770920549144
Logistic Regression,có scaling,3,0.4483143906240315,0.8307291666666666,0.5595572847886152
Logistic Regression,có scaling,4,0.4441555073712781,0.83125,0.5390806077774917
KNN (k=51),không scaling,0,0.7550277936689044,0.7765625,0.4744306841038524
KNN (k=51),không scaling,1,0.8444679268517816,0.7828125,0.47944594321405914
KNN (k=51),không scaling,2,0.6839615497047026,0.7875,0.4850539388363851
KNN (k=51),không scaling,3,0.6604550689859106,0.7760416666666666,0.4696747570179725
KNN (k=51),không scaling,4,0.8156923971688234,0.7765625,0.47473099034811206
KNN (k=5),không scaling,0,2.975094098488597,0.775,0.5150553958232696
KNN (k=5),không scaling,1,3.298855967383265,0.7697916666666667,0.5125554887332906
KNN (k=5),không scaling,2,2.807209589701349,0.7692708333333333,0.5219450066000196
KNN (k=5),không scaling,3,3.2424669308960583,0.7786458333333334,0.5607115679726152
KNN (k=5),không scaling,4,2.9499748073410115,0.7729166666666667,0.5265790934297943
Logistic Regression,không scaling,0,0.4785442156909167,0.8192708333333333,0.5390790701557843
Logistic Regression,không scaling,1,0.47181113559885496,0.8307291666666666,0.5386269889902503
Logistic Regression,không scaling,2,0.4654576744686111,0.8223958333333333,0.5264962121884778
Logistic Regression,không scaling,3,0.49684471632996946,0.8109375,0.5198040324100245
Logistic Regression,không scaling,4,0.5014348629209103,0.8197916666666667,0.5273678338753643
